,researchExp,toeflScore,GRE_Total,CGPA,University
191,0.0,103.0,318,8.075,University of Utah
192,0.0,107.0,334,8.25,University of Utah
193,0.0,108.0,314,7.6,University of Utah
194,0.0,108.0,321,9.05,University of Utah
195,0.0,113.0,320,8.0,University of Utah
196,0.0,99.0,310,8.725000000000001,University of Utah
197,0.0,110.0,312,9.125,University of Utah
198,0.0,113.0,329,8.075,University of Utah
199,0.0,97.0,298,7.675,University of Utah
200,0.0,106.0,321,8.65,University of Utah
201,0.0,110.0,326,8.475,University of Utah
202,24.0,101.0,317,8.149999999999999,University of Utah
203,0.0,111.0,318,8.65,University of Utah
204,0.0,112.0,325,6.875,University of Utah
205,0.0,85.0,310,7.375,University of Utah
206,0.0,108.0,321,7.5,University of Utah
207,0.0,115.0,318,8.725000000000001,University of Utah
208,0.0,106.0,316,9.275,University of Utah
209,0.0,110.0,321,8.725000000000001,University of Utah
210,0.0,105.0,313,8.4,University of Utah
211,0.0,97.0,304,8.875,University of Utah
212,0.0,102.0,316,6.625,University of Utah
213,0.0,104.21251509054326,337,8.25,University of Utah
214,0.0,111.0,317,9.275,University of Utah
215,0.0,109.0,310,9.25,University of Utah
216,0.0,107.0,321,7.925,University of Utah
217,0.0,109.0,319,8.075,University of Utah
218,0.0,114.0,332,8.875,University of Utah
219,0.0,94.0,311,6.75,University of Utah
220,0.0,98.0,315,8.325,University of Utah
221,0.0,88.0,320,8.475,University of Utah
222,0.0,114.0,326,8.0,University of Utah
223,0.0,107.0,319,9.05,University of Utah
224,0.0,98.0,315,7.125,University of Utah
225,0.0,113.0,315,8.55,University of Utah
226,0.0,99.0,308,8.65,University of Utah
227,0.0,97.0,310,8.725000000000001,University of Utah
228,0.0,114.0,318,8.149999999999999,University of Utah
229,0.0,110.0,322,9.45,University of Utah
230,0.0,96.0,314,8.475,University of Utah
231,0.0,115.0,330,8.65,University of Utah
232,0.0,103.0,311,9.200000000000001,University of Utah
233,0.0,103.0,314,6.875,University of Utah
234,0.0,105.0,324,8.149999999999999,University of Utah
235,0.0,104.21251509054326,318,8.149999999999999,University of Utah
236,0.0,102.0,311,9.05,University of Utah
237,0.0,111.0,322,8.075,University of Utah
238,0.0,98.0,318,8.725000000000001,University of Utah
239,0.0,94.0,309,8.149999999999999,University of Utah
240,0.0,108.0,318,9.125,University of Utah
241,0.0,113.0,317,8.55,University of Utah
242,0.0,90.0,310,8.475,University of Utah
243,0.0,113.0,327,8.0,University of Utah
244,0.0,104.0,305,7.25,University of Utah
245,0.0,100.0,313,9.350000000000001,University of Utah
246,0.0,108.0,319,8.65,University of Utah
247,0.0,92.0,310,6.75,University of Utah
248,0.0,104.21251509054326,322,8.25,University of Utah
249,0.0,108.0,315,8.8,University of Utah
250,0.0,115.0,327,7.925,University of Utah
251,0.0,101.0,311,8.725000000000001,University of Utah
252,0.0,107.0,311,8.875,University of Utah
253,0.0,104.21251509054326,316,8.95,University of Utah
254,0.0,102.0,314,7.675,University of Utah
255,0.0,116.0,320,8.325,University of Utah
256,0.0,113.0,321,8.149999999999999,University of Utah
257,0.0,104.21251509054326,323,7.5,University of Utah
258,0.0,100.0,310,8.4,University of Utah
259,0.0,114.0,327,8.475,University of Utah
260,0.0,97.0,304,8.875,University of Utah
261,0.0,99.0,317,8.55,University of Utah
262,0.0,86.0,311,9.200000000000001,University of Utah
263,0.0,104.0,324,9.200000000000001,University of Utah
264,0.0,98.0,309,9.200000000000001,University of Utah
265,0.0,113.0,328,7.925,University of Utah
266,0.0,113.0,320,8.25,University of Utah
267,0.0,115.0,328,8.4,University of Utah
268,0.0,111.0,327,7.925,University of Utah
269,0.0,104.21251509054326,314,9.200000000000001,University of Utah
270,0.0,104.21251509054326,304,6.875,University of Utah
271,0.0,97.0,324,8.149999999999999,University of Utah
272,0.0,104.21251509054326,322,7.5,University of Utah
273,0.0,107.0,319,7.125,University of Utah
274,0.0,119.0,324,8.0,University of Utah
275,0.0,109.0,330,9.525,University of Utah
276,0.0,102.0,312,8.4,University of Utah
277,0.0,100.0,313,8.5,University of Utah
278,0.0,103.0,315,8.55,University of Utah
279,0.0,112.0,322,8.0,University of Utah
280,0.0,111.0,314,8.149999999999999,University of Utah
281,0.0,104.21251509054326,309,8.4,University of Utah
282,0.0,112.0,329,8.4,University of Utah
283,0.0,104.21251509054326,308,8.55,University of Utah
284,0.0,102.0,307,8.65,University of Utah
285,0.0,113.0,322,8.65,University of Utah
286,0.0,116.0,323,7.25,University of Utah
287,0.0,105.0,313,8.95,University of Utah
288,0.0,101.0,317,8.55,University of Utah
289,0.0,116.0,321,8.325,University of Utah
290,0.0,100.0,308,8.55,University of Utah
291,0.0,7.0,325,8.4,University of Utah
292,0.0,102.0,315,9.275,University of Utah
293,0.0,93.0,309,8.325,University of Utah
294,0.0,106.0,323,8.95,University of Utah
295,0.0,100.0,321,7.925,University of Utah
